"Chromosome"	"Start"	"End"	"Strand"	"Feature"	"Illumina"	"Missing"	"Length"	"Miss %"	"Locus Tag"	"Product"
"CP040689"	10114	11028	"+"	"gene"	"Missing"	62	915	6.8	"FF952_00035"	
"CP040689"	10114	11028	"+"	"mRNA"	"Missing"	62	915	6.8	"FF952_00035"	
"CP040689"	10114	11028	"+"	"CDS"	"Missing"	62	915	6.8	"FF952_00035"	"hypothetical protein"
"CP040689"	10114	11028	"+"	"exon"	"Missing"	62	915	6.8		
"CP040689"	17667	18962	"-"	"gene"	"Missing"	189	1296	14.6	"FF952_00095"	
"CP040689"	17667	18962	"-"	"mRNA"	"Missing"	189	1296	14.6	"FF952_00095"	
"CP040689"	17667	18962	"-"	"CDS"	"Missing"	189	1296	14.6	"FF952_00095"	"serine/threonine protein kinase"
"CP040689"	17667	18962	"-"	"exon"	"Missing"	189	1296	14.6		
"CP040689"	90654	92576	"+"	"gene"	"Missing"	125	1923	6.5	"FF952_00475"	
"CP040689"	90654	92576	"+"	"mRNA"	"Missing"	125	1923	6.5	"FF952_00475"	
"CP040689"	90654	92576	"+"	"CDS"	"Missing"	125	1923	6.5	"FF952_00475"	"oxidoreductase"
"CP040689"	90654	92576	"+"	"exon"	"Missing"	125	1923	6.5		
"CP040689"	105059	105469	"-"	"gene"	"Missing"	271	411	65.9	"FF952_00540"	
"CP040689"	105059	105469	"-"	"mRNA"	"Missing"	271	411	65.9	"FF952_00540"	
"CP040689"	105059	105469	"-"	"CDS"	"Missing"	271	411	65.9	"FF952_00540"	"DUF222 domain-containing protein"
"CP040689"	105059	105469	"-"	"exon"	"Missing"	271	411	65.9		
"CP040689"	131637	133127	"+"	"gene"	"Missing"	716	1491	48	"FF952_00615"	
"CP040689"	131637	133127	"+"	"mRNA"	"Missing"	716	1491	48	"FF952_00615"	
"CP040689"	131637	133127	"+"	"CDS"	"Missing"	716	1491	48	"FF952_00615"	"PE family protein"
"CP040689"	131637	133127	"+"	"exon"	"Missing"	716	1491	48		
"CP040689"	149789	151432	"+"	"gene"	"Missing"	1078	1644	65.6	"FF952_00695"	
"CP040689"	149789	151432	"+"	"mRNA"	"Missing"	1078	1644	65.6	"FF952_00695"	
"CP040689"	149789	151432	"+"	"CDS"	"Missing"	1078	1644	65.6	"FF952_00695"	"PE family protein"
"CP040689"	149789	151432	"+"	"exon"	"Missing"	1078	1644	65.6		
"CP040689"	154562	154672	"+"	"pseudogenic_exon"	"Missing"	42	111	37.8	"FF952_00710"	"uridylate kinase"
"CP040689"	154562	154672	"+"	"pseudogene"	"Missing"	42	111	37.8	"FF952_00710"	
"CP040689"	201370	202917	"+"	"gene"	"Missing"	109	1548	7	"FF952_00960"	
"CP040689"	201370	202917	"+"	"mRNA"	"Missing"	109	1548	7	"FF952_00960"	
"CP040689"	201370	202917	"+"	"CDS"	"Missing"	109	1548	7	"FF952_00960"	"MCE family protein"
"CP040689"	201370	202917	"+"	"exon"	"Missing"	109	1548	7		
"CP040689"	224045	225103	"+"	"gene"	"Missing"	88	1059	8.3	"FF952_01070"	
"CP040689"	224045	225103	"+"	"mRNA"	"Missing"	88	1059	8.3	"FF952_01070"	
"CP040689"	224045	225103	"+"	"CDS"	"Missing"	88	1059	8.3	"FF952_01070"	"hypothetical protein"
"CP040689"	224045	225103	"+"	"exon"	"Missing"	88	1059	8.3		
"CP040689"	261406	262734	"+"	"gene"	"Missing"	124	1329	9.3	"FF952_01200"	
"CP040689"	261406	262734	"+"	"mRNA"	"Missing"	124	1329	9.3	"FF952_01200"	
"CP040689"	261406	262734	"+"	"CDS"	"Missing"	124	1329	9.3	"FF952_01200"	"hypothetical protein"
"CP040689"	261406	262734	"+"	"exon"	"Missing"	124	1329	9.3		
"CP040689"	333919	336735	"-"	"gene"	"Missing"	2369	2817	84.1	"FF952_01510"	
"CP040689"	333919	336735	"-"	"mRNA"	"Missing"	2369	2817	84.1	"FF952_01510"	
"CP040689"	333919	336735	"-"	"CDS"	"Missing"	2369	2817	84.1	"FF952_01510"	"PE family protein"
"CP040689"	333919	336735	"-"	"exon"	"Missing"	2369	2817	84.1		
"CP040689"	336999	339662	"-"	"gene"	"Missing"	2341	2664	87.9	"FF952_01515"	
"CP040689"	336999	339662	"-"	"mRNA"	"Missing"	2341	2664	87.9	"FF952_01515"	
"CP040689"	336999	339662	"-"	"CDS"	"Missing"	2341	2664	87.9	"FF952_01515"	"PE family protein"
"CP040689"	336999	339662	"-"	"exon"	"Missing"	2341	2664	87.9		
"CP040689"	339912	342689	"-"	"gene"	"Missing"	2725	2778	98.1	"FF952_01520"	
"CP040689"	339912	342689	"-"	"mRNA"	"Missing"	2725	2778	98.1	"FF952_01520"	
"CP040689"	339912	342689	"-"	"CDS"	"Missing"	2725	2778	98.1	"FF952_01520"	"PE family protein"
"CP040689"	339912	342689	"-"	"exon"	"Missing"	2725	2778	98.1		
"CP040689"	342980	344590	"+"	"gene"	"Missing"	219	1611	13.6	"FF952_01530"	
"CP040689"	342980	344590	"+"	"mRNA"	"Missing"	219	1611	13.6	"FF952_01530"	
"CP040689"	342980	344590	"+"	"CDS"	"Missing"	219	1611	13.6	"FF952_01530"	"PPE family protein"
"CP040689"	342980	344590	"+"	"exon"	"Missing"	219	1611	13.6		
"CP040689"	353551	355092	"+"	"gene"	"Missing"	263	1542	17.1	"FF952_01560"	
"CP040689"	353551	355092	"+"	"mRNA"	"Missing"	263	1542	17.1	"FF952_01560"	
"CP040689"	353551	355092	"+"	"CDS"	"Missing"	263	1542	17.1	"FF952_01560"	"type VII secretion system ESX-3 target PPE4"
"CP040689"	353551	355092	"+"	"exon"	"Missing"	263	1542	17.1		
"CP040689"	364950	366716	"+"	"gene"	"Missing"	1249	1767	70.7	"FF952_01615"	
"CP040689"	364950	366716	"+"	"mRNA"	"Missing"	1249	1767	70.7	"FF952_01615"	
"CP040689"	364950	366716	"+"	"CDS"	"Missing"	1249	1767	70.7	"FF952_01615"	"PE family protein"
"CP040689"	364950	366716	"+"	"exon"	"Missing"	1249	1767	70.7		
"CP040689"	461979	462833	"-"	"gene"	"Missing"	75	855	8.8	"FF952_02040"	
"CP040689"	461979	462833	"-"	"mRNA"	"Missing"	75	855	8.8	"FF952_02040"	
"CP040689"	461979	462833	"-"	"CDS"	"Missing"	75	855	8.8	"FF952_02040"	"hypothetical protein"
"CP040689"	461979	462833	"-"	"exon"	"Missing"	75	855	8.8		
"CP040689"	470190	471521	"-"	"gene"	"Missing"	67	1332	5	"FF952_02060"	
"CP040689"	470190	471521	"-"	"mRNA"	"Missing"	67	1332	5	"FF952_02060"	
"CP040689"	470190	471521	"-"	"CDS"	"Missing"	67	1332	5	"FF952_02060"	"PPE family protein"
"CP040689"	470190	471521	"-"	"exon"	"Missing"	67	1332	5		
"CP040689"	503870	504538	"-"	"gene"	"Missing"	57	669	8.5	"FF952_02205"	
"CP040689"	503870	504538	"-"	"mRNA"	"Missing"	57	669	8.5	"FF952_02205"	
"CP040689"	503870	504538	"-"	"CDS"	"Missing"	57	669	8.5	"FF952_02205"	"thiamine phosphate synthase"
"CP040689"	503870	504538	"-"	"exon"	"Missing"	57	669	8.5		
"CP040689"	584082	584288	"-"	"gene"	"Missing"	80	207	38.6	"FF952_02615"	
"CP040689"	584082	584288	"-"	"mRNA"	"Missing"	80	207	38.6	"FF952_02615"	
"CP040689"	584082	584288	"-"	"CDS"	"Missing"	80	207	38.6	"FF952_02615"	"hypothetical protein"
"CP040689"	584082	584288	"-"	"exon"	"Missing"	80	207	38.6		
"CP040689"	599720	600841	"-"	"gene"	"Missing"	57	1122	5.1	"FF952_02705"	
"CP040689"	599720	600841	"-"	"mRNA"	"Missing"	57	1122	5.1	"FF952_02705"	
"CP040689"	599720	600841	"-"	"CDS"	"Missing"	57	1122	5.1	"FF952_02705"	"HAD-IB family hydrolase"
"CP040689"	599720	600841	"-"	"exon"	"Missing"	57	1122	5.1		
"CP040689"	610405	610704	"+"	"gene"	"Missing"	209	300	69.7	"FF952_02750"	
"CP040689"	610405	610704	"+"	"mRNA"	"Missing"	209	300	69.7	"FF952_02750"	
"CP040689"	610405	610704	"+"	"CDS"	"Missing"	209	300	69.7	"FF952_02750"	"hypothetical protein"
"CP040689"	610405	610704	"+"	"exon"	"Missing"	209	300	69.7		
"CP040689"	627049	628794	"+"	"gene"	"Missing"	1461	1746	83.7	"FF952_02855"	
"CP040689"	627049	628794	"+"	"mRNA"	"Missing"	1461	1746	83.7	"FF952_02855"	
"CP040689"	627049	628794	"+"	"CDS"	"Missing"	1461	1746	83.7	"FF952_02855"	"PE family protein"
"CP040689"	627049	628794	"+"	"exon"	"Missing"	1461	1746	83.7		
"CP040689"	628700	628927	"+"	"gene"	"Missing"	51	228	22.4	"FF952_02860"	
"CP040689"	628700	628927	"+"	"mRNA"	"Missing"	51	228	22.4	"FF952_02860"	
"CP040689"	628700	628927	"+"	"CDS"	"Missing"	51	228	22.4	"FF952_02860"	"hypothetical protein"
"CP040689"	628700	628927	"+"	"exon"	"Missing"	51	228	22.4		
"CP040689"	676346	680293	"-"	"gene"	"Missing"	3424	3948	86.7	"FF952_03105"	
"CP040689"	676346	680293	"-"	"mRNA"	"Missing"	3424	3948	86.7	"FF952_03105"	
"CP040689"	676346	680293	"-"	"CDS"	"Missing"	3424	3948	86.7	"FF952_03105"	"PE family protein"
"CP040689"	676346	680293	"-"	"exon"	"Missing"	3424	3948	86.7		
"CP040689"	704234	704545	"+"	"gene"	"Missing"	16	312	5.1	"FF952_03235"	
"CP040689"	704234	704545	"+"	"mRNA"	"Missing"	16	312	5.1	"FF952_03235"	
"CP040689"	704234	704545	"+"	"CDS"	"Missing"	16	312	5.1	"FF952_03235"	"hypothetical protein"
"CP040689"	704234	704545	"+"	"exon"	"Missing"	16	312	5.1		
"CP040689"	710702	711307	"+"	"gene"	"Missing"	90	606	14.9	"FF952_03300"	
"CP040689"	710702	711307	"+"	"mRNA"	"Missing"	90	606	14.9	"FF952_03300"	
"CP040689"	710702	711307	"+"	"CDS"	"Missing"	90	606	14.9	"FF952_03300"	"hypothetical protein"
"CP040689"	710702	711307	"+"	"exon"	"Missing"	90	606	14.9		
"CP040689"	711326	713893	"-"	"gene"	"Missing"	357	2568	13.9	"FF952_03305"	
"CP040689"	711326	713893	"-"	"mRNA"	"Missing"	357	2568	13.9	"FF952_03305"	
"CP040689"	711326	713893	"-"	"CDS"	"Missing"	357	2568	13.9	"FF952_03305"	"hypothetical protein"
"CP040689"	711326	713893	"-"	"exon"	"Missing"	357	2568	13.9		
"CP040689"	723140	724291	"-"	"gene"	"Missing"	221	1152	19.2	"FF952_03385"	
"CP040689"	723140	724291	"-"	"mRNA"	"Missing"	221	1152	19.2	"FF952_03385"	
"CP040689"	723140	724291	"-"	"CDS"	"Missing"	221	1152	19.2	"FF952_03385"	"hypothetical protein"
"CP040689"	723140	724291	"-"	"exon"	"Missing"	221	1152	19.2		
"CP040689"	724384	726105	"-"	"gene"	"Missing"	165	1722	9.6	"FF952_03390"	
"CP040689"	724384	726105	"-"	"mRNA"	"Missing"	165	1722	9.6	"FF952_03390"	
"CP040689"	724384	726105	"-"	"CDS"	"Missing"	165	1722	9.6	"FF952_03390"	"exodeoxyribonuclease V subunit alpha"
"CP040689"	724384	726105	"-"	"exon"	"Missing"	165	1722	9.6		
"CP040689"	747367	751272	"+"	"gene"	"Missing"	337	3906	8.6	"FF952_03510"	
"CP040689"	747367	751272	"+"	"mRNA"	"Missing"	337	3906	8.6	"FF952_03510"	
"CP040689"	747367	751272	"+"	"CDS"	"Missing"	337	3906	8.6	"FF952_03510"	"alpha-mannosidase"
"CP040689"	747367	751272	"+"	"exon"	"Missing"	337	3906	8.6		
"CP040689"	751269	751943	"+"	"gene"	"Missing"	321	675	47.6	"FF952_03515"	
"CP040689"	751269	751943	"+"	"mRNA"	"Missing"	321	675	47.6	"FF952_03515"	
"CP040689"	751269	751943	"+"	"CDS"	"Missing"	321	675	47.6	"FF952_03515"	"malonyl CoA-ACP transacylase"
"CP040689"	751269	751943	"+"	"exon"	"Missing"	321	675	47.6		
"CP040689"	807351	807575	"+"	"gene"	"Missing"	144	225	64	"FF952_03830"	
"CP040689"	807351	807575	"+"	"mRNA"	"Missing"	144	225	64	"FF952_03830"	
"CP040689"	807351	807575	"+"	"CDS"	"Missing"	144	225	64	"FF952_03830"	"hypothetical protein"
"CP040689"	807351	807575	"+"	"exon"	"Missing"	144	225	64		
"CP040689"	838059	838520	"+"	"gene"	"Missing"	187	462	40.5	"FF952_04040"	
"CP040689"	838059	838520	"+"	"mRNA"	"Missing"	187	462	40.5	"FF952_04040"	
"CP040689"	838059	838520	"+"	"CDS"	"Missing"	187	462	40.5	"FF952_04040"	"PE family protein"
"CP040689"	838059	838520	"+"	"exon"	"Missing"	187	462	40.5		
"CP040689"	840713	843067	"+"	"gene"	"Missing"	1901	2355	80.7	"FF952_04065"	
"CP040689"	840713	843067	"+"	"mRNA"	"Missing"	1901	2355	80.7	"FF952_04065"	
"CP040689"	840713	843067	"+"	"CDS"	"Missing"	1901	2355	80.7	"FF952_04065"	"PE family protein"
"CP040689"	840713	843067	"+"	"exon"	"Missing"	1901	2355	80.7		
"CP040689"	843466	846255	"+"	"gene"	"Missing"	2149	2790	77	"FF952_04075"	
"CP040689"	843466	846255	"+"	"mRNA"	"Missing"	2149	2790	77	"FF952_04075"	
"CP040689"	843466	846255	"+"	"CDS"	"Missing"	2149	2790	77	"FF952_04075"	"PE family protein"
"CP040689"	843466	846255	"+"	"exon"	"Missing"	2149	2790	77		
"CP040689"	847432	847677	"+"	"gene"	"Missing"	110	246	44.7	"FF952_04095"	
"CP040689"	847432	847677	"+"	"mRNA"	"Missing"	110	246	44.7	"FF952_04095"	
"CP040689"	847432	847677	"+"	"CDS"	"Missing"	110	246	44.7	"FF952_04095"	"hypothetical protein"
"CP040689"	847432	847677	"+"	"exon"	"Missing"	110	246	44.7		
"CP040689"	878068	878688	"-"	"gene"	"Missing"	54	621	8.7	"FF952_04250"	
"CP040689"	878068	878688	"-"	"mRNA"	"Missing"	54	621	8.7	"FF952_04250"	
"CP040689"	878068	878688	"-"	"CDS"	"Missing"	54	621	8.7	"FF952_04250"	"hypothetical protein"
"CP040689"	878068	878688	"-"	"exon"	"Missing"	54	621	8.7		
"CP040689"	928932	931676	"+"	"gene"	"Missing"	2440	2745	88.9	"FF952_04530"	
"CP040689"	928932	931676	"+"	"mRNA"	"Missing"	2440	2745	88.9	"FF952_04530"	
"CP040689"	928932	931676	"+"	"CDS"	"Missing"	2440	2745	88.9	"FF952_04530"	"PE family protein"
"CP040689"	928932	931676	"+"	"exon"	"Missing"	2440	2745	88.9		
"CP040689"	931903	934542	"-"	"gene"	"Missing"	2003	2640	75.9	"FF952_04540"	
"CP040689"	931903	934542	"-"	"mRNA"	"Missing"	2003	2640	75.9	"FF952_04540"	
"CP040689"	931903	934542	"-"	"CDS"	"Missing"	2003	2640	75.9	"FF952_04540"	"PE family protein"
"CP040689"	931903	934542	"-"	"exon"	"Missing"	2003	2640	75.9		
"CP040689"	968420	969643	"-"	"gene"	"Missing"	445	1224	36.4	"FF952_04735"	
"CP040689"	968420	969643	"-"	"mRNA"	"Missing"	445	1224	36.4	"FF952_04735"	
"CP040689"	968420	969643	"-"	"CDS"	"Missing"	445	1224	36.4	"FF952_04735"	"resuscitation-promoting factor RpfA"
"CP040689"	968420	969643	"-"	"exon"	"Missing"	445	1224	36.4		
"CP040689"	972532	974361	"-"	"gene"	"Missing"	875	1830	47.8	"FF952_04760"	
"CP040689"	972532	974361	"-"	"mRNA"	"Missing"	875	1830	47.8	"FF952_04760"	
"CP040689"	972532	974361	"-"	"CDS"	"Missing"	875	1830	47.8	"FF952_04760"	"PE family protein"
"CP040689"	972532	974361	"-"	"exon"	"Missing"	875	1830	47.8		
"CP040689"	1075370	1077388	"+"	"gene"	"Missing"	192	2019	9.5	"FF952_05240"	
"CP040689"	1075370	1077388	"+"	"mRNA"	"Missing"	192	2019	9.5	"FF952_05240"	
"CP040689"	1075370	1077388	"+"	"CDS"	"Missing"	192	2019	9.5	"FF952_05240"	"VWA domain-containing protein"
"CP040689"	1075370	1077388	"+"	"exon"	"Missing"	192	2019	9.5		
"CP040689"	1094485	1097256	"+"	"gene"	"Missing"	1342	2772	48.4	"FF952_05335"	
"CP040689"	1094485	1097256	"+"	"mRNA"	"Missing"	1342	2772	48.4	"FF952_05335"	
